pair_id,image_path,paired_image_path,is_original
pair_0001_2026-4-8_115718_3,img/2026-4-8 115718 3.jpg,output/generated/pair_0001_2026-4-8_115718_3__generated.png,true
pair_0001_2026-4-8_115718_3,output/generated/pair_0001_2026-4-8_115718_3__generated.png,img/2026-4-8 115718 3.jpg,false
pair_0002_2026-4-8_115741_2,img/2026-4-8 115741 2.jpg,output/generated/pair_0002_2026-4-8_115741_2__generated.png,true
pair_0002_2026-4-8_115741_2,output/generated/pair_0002_2026-4-8_115741_2__generated.png,img/2026-4-8 115741 2.jpg,false
pair_0003_2026-4-8_115741_8,img/2026-4-8 115741 8.jpg,output/generated/pair_0003_2026-4-8_115741_8__generated.png,true
pair_0003_2026-4-8_115741_8,output/generated/pair_0003_2026-4-8_115741_8__generated.png,img/2026-4-8 115741 8.jpg,false
pair_0004_2026-4-8_115741_9,img/2026-4-8 115741 9.jpg,output/generated/pair_0004_2026-4-8_115741_9__generated.png,true
pair_0004_2026-4-8_115741_9,output/generated/pair_0004_2026-4-8_115741_9__generated.png,img/2026-4-8 115741 9.jpg,false
pair_0005_2026-4-8_115759_2,img/2026-4-8 115759 2.jpg,output/generated/pair_0005_2026-4-8_115759_2__generated.png,true
pair_0005_2026-4-8_115759_2,output/generated/pair_0005_2026-4-8_115759_2__generated.png,img/2026-4-8 115759 2.jpg,false
pair_0006_2026-4-8_115759_3,img/2026-4-8 115759 3.jpg,output/generated/pair_0006_2026-4-8_115759_3__generated.png,true
pair_0006_2026-4-8_115759_3,output/generated/pair_0006_2026-4-8_115759_3__generated.png,img/2026-4-8 115759 3.jpg,false
pair_0007_2026-4-8_115759_4,img/2026-4-8 115759 4.jpg,output/generated/pair_0007_2026-4-8_115759_4__generated.png,true
pair_0007_2026-4-8_115759_4,output/generated/pair_0007_2026-4-8_115759_4__generated.png,img/2026-4-8 115759 4.jpg,false
pair_0008_2026-4-8_115759_5,img/2026-4-8 115759 5.jpg,output/generated/pair_0008_2026-4-8_115759_5__generated.png,true
pair_0008_2026-4-8_115759_5,output/generated/pair_0008_2026-4-8_115759_5__generated.png,img/2026-4-8 115759 5.jpg,false
pair_0009_2026-4-8_11578_5,img/2026-4-8 11578 5.jpg,output/generated/pair_0009_2026-4-8_11578_5__generated.png,true
pair_0009_2026-4-8_11578_5,output/generated/pair_0009_2026-4-8_11578_5__generated.png,img/2026-4-8 11578 5.jpg,false
pair_0010_2026-4-8_11578_7,img/2026-4-8 11578 7.jpg,output/generated/pair_0010_2026-4-8_11578_7__generated.png,true
pair_0010_2026-4-8_11578_7,output/generated/pair_0010_2026-4-8_11578_7__generated.png,img/2026-4-8 11578 7.jpg,false
pair_0011_2026-4-8_11578_8,img/2026-4-8 11578 8.jpg,output/generated/pair_0011_2026-4-8_11578_8__generated.png,true
pair_0011_2026-4-8_11578_8,output/generated/pair_0011_2026-4-8_11578_8__generated.png,img/2026-4-8 11578 8.jpg,false
pair_0012_2026-4-8_11578_9,img/2026-4-8 11578 9.jpg,output/generated/pair_0012_2026-4-8_11578_9__generated.png,true
pair_0012_2026-4-8_11578_9,output/generated/pair_0012_2026-4-8_11578_9__generated.png,img/2026-4-8 11578 9.jpg,false
pair_0013_anemone123-team-spirit-2447163,img/anemone123-team-spirit-2447163.jpg,output/generated/pair_0013_anemone123-team-spirit-2447163__generated.png,true
pair_0013_anemone123-team-spirit-2447163,output/generated/pair_0013_anemone123-team-spirit-2447163__generated.png,img/anemone123-team-spirit-2447163.jpg,false
